Artist,Album,Genre,Release Date,Listened On,Favorite Songs,Rating,Hidden Ranking
Avantdale Bowling Club,Avantdale Bowling Club,Jazz Rap,8/17/2018,N/A,"Years Gone By, F(r)iends, Home",10,25
Mid-Air Thief,Crumbling,Folktronica,7/31/2018,N/A,"These Chains, Gameun Deut, Why?",9.5,24
Kacey Musgraves,Golden Hour,Country Pop,3/30/2018,N/A,"Golden Hour, Happy & Sad, Slow Burn",9.5,23
Parquet Courts,Wide Awake!,"Art Punk / Indie Rock",5/18/2018,N/A,"Freebird II, Tenderness, Total Football",9,22
Noname,Room 25,"Jazz Rap / Conscious Hip Hop",9/14/2018,N/A,"Self, no name, Montego Bae",8.5,21
Ripe,Joy in the Wild Unknown,Funk Pop,4/6/2018,N/A,"Passerby, Flipside, Little Lighter",8.5,20
Haley Heynderickx,I Need to Start a Garden,"Singer-Songwriter / Indie Folk",3/2/2018,N/A,"The Bug Collector, No Face, Untitled God Song",8.5,19
Father John Misty,God's Favorite Customer,Chamber Pop,6/1/2018,N/A,"Mr. Tillman, Hangout at the Gallows, God's Favorite Customer",8.5,18
Snail Mail,Lush,Indie Rock,6/8/2018,N/A,"Pristine, Heat Wave, Stick",8.5,17
Sammy Rae & The Friends,The Good Life,Funk Pop,7/10/2018,N/A,"Kick It to Me, The Feeling, Talk It Up",8.5,16
Mac Miller,Swimming,"Alternative R&B / Pop Rap",8/3/2018,N/A,"Come Back to Earth, Small Worlds, Ladders",8,15
boy pablo,Soy Pablo,"Bedroom Pop / Indie Pop",10/5/2018,N/A,"Losing You, Feeling Lonely, Sick Feeling",8,14
Denzel Curry,TA13OO,"Trap / Conscious Hip Hop",7/27/2018,N/A,"CLOUT COBAIN, TABOO, SUMO",8,13
Hippo Campus,Bambi,Indie Pop,9/28/2018,N/A,"Bambi, Golden, Doubt",7.5,12
"Black Thought,Salaam Remi",Streams Of Thought Vol. 2,"East Coast Hip Hop / Conscious Hip Hop",11/26/2018,N/A,"Fentanyl, Conception, History Unfolds",7.5,11
Manwolves,A Safety Meeting,"Jazz Rap /Alternative R&B",9/14/2018,N/A,"Runnin', Shkleepy, Reaper",7.5,10
The 1975,A Brief Inquiry Into Online Relationships,Art Pop,11/30/2018,N/A,"Give Yourself A Try, Love It If We Made It, Be My Mistake",7.5,9
Her's,Invitation to Her's,Indie Pop,8/24/2018,N/A,"Harvey, If You Know What's Right, Under Wraps",7.5,8
Rayland Baxter,Wide Awake,"Alternative Country / Singer-Songwriter",7/13/2018,N/A,"Strange American Dream, 79 Shiny Revolvers, Angeline",7,7
Living Room,Lawrence,Pop Funk,9/14/2018,N/A,"Probably Up, More, Limbo",7,6
This Is It,The Greeting Committee,Indie Pop,10/26/2018,N/A,"17, Is This It?, More",7,5
potsu,just friends,Lo-Fi Hip Hop,7/17/2018,N/A,"take me there, letting go, gazebo",7,4
Tropical Fuck Storm,A Laughing Death in Meatspace,Art Punk,5/4/2018,N/A,"Two Afternoons, Chameleon Paint, Antimatter Animals",7,3
Vansire,Angel Youth,Dream Pop,4/26/2018,N/A,"Halcyon Age, Angel Youth, Nice to See You",7,2
Vulfpeck,Hill Climber,Jazz Funk,12/7/2018,N/A,"Half of the Way, Lonely Town, Darwin Derby",7,1
