Album,Artist,Genre,Release Date,Listened On,Favorite Songs,Rating,Hidden Ranking
Melt My Eyez See Your Future,Denzel Curry,Conscious Hip Hop,1/1/2022,,"Melt Session #1 [Feat. Robert Glasper], Walkin, Troubles [Feat. T-Pain]",9.5,999
Ants From Up There,"Black Country, New Road",Art Rock,1/1/2022,,"The Place Where He Inserted the Blade, Good Will Hunting, Concorde",9.5,999
Dawn FM,The Weeknd,Pop / Synthpop,1/1/2022,,"Out of Time, Sacrifice, Gasoline",9,999
DECIDE,Djo,Psychadelic Pop,1/1/2022,,"Change, On and On, Runner",9,999
The Forever Story,JID,,1/1/2022,,"Kody Blu 31, Surround Sound (feat. 21 Savage & Baby Tate), Sistanem",9,999
I Didn't Mean To Haunt You,Quadeca,Alternative R&B,1/1/2022,,"don't mind me, tell me a joke, sorry4dying",9,999
TREES,Avantdale Bowling Club,Jazz Rap,1/1/2022,,"Rent 2 High, Twenty Eight, Friday Night @ The Liquor Store",8.5,999
Darklife,death's dynamic shroud,Glitch Pop,1/1/2022,,"Neon Memories, Judgment Bolt, Stay",8.5,999
Gemini Rights,Steve Lacy,R&B,1/1/2022,,"Mercury, Sunshine (feat. Fousheé), Bad Habit",8,999
From 2 to 3,Peach Pit,Indie Pop,1/1/2022,,"Look Out!, Up Granville, Vickie",8,999
five seconds flat,Lizzy McAlpine,Singer-Songwriter / Indie,1/1/2022,,"ceilings, doomsday, all my ghosts",8,999
Wet Leg,Wet Leg,Indie Rock,1/1/2022,,"Too Late Now, Wet Dream, Ur Mum",8,999
Bronco,Orville Peck,Country,1/1/2022,,"C'mon Baby, Cry, Daytona Sand, The Curse of the Blackened Eye",8,999
"And In The Darkness, Hearts Aglow",Weyes Blood,Dream pop / Art pop,1/1/2022,,"It's Not Just Me, It's Everybody, Grapevine, God Turn Me Into a Flower",8,999
Hellfire,black midi,Experimental Rock,1/1/2022,,"Sugar/Tzu, The Defence, Welcome to Hell",8.5,999
I've Seen Better Days,amaii,Hyperpop,1/1/2022,,"Dust, Supermarket california roll, hey! cool bike",8,999
"Ice, Death, Planets, Lungs, Mushrooms And Lava",King Gizzard & The Lizard Wizard,Psychadelic Rock / Jazz Rock,1/1/2022,,"Ice V, Magma, Hell's Itch",8,999
Crest,"Bladee, Ecco2k",Hyperpop / Cloud Rap,1/1/2022,,"White Meadow, Desire is a Trap, Girls Just Want to Have Fun",7.5,999
Omnium Gatherum,King Gizzard & The Lizard Wizard,Psychadelic Rock,1/1/2022,,"Magenta Mountain, Presumptuous, The Dripping Tap",7.5,999
Chloë and the Next 20th Century,Father John Misty,Alternative / Chamber Pop,1/1/2022,,"Goodbye Mr. Blue, Buddy's Rendezvous, Funny Girl",7.5,999
"Grip Your Fist, I'm Heaven Bound",Racing Mount Pleasant,Chamber Pop / Art Rock,1/1/2022,,"Do You Think I'm Pretty, Reichenbach Falls, Holy Hell",7.5,999
INTO THE BLUE,Broken Bells,Alternative / Indie,1/1/2022,,"Love On The Run, Invisible Exit, We're Not In Orbit Yet…",7.5,999
Mr. Morale & The Big Steppers,Kendrick Lamar,,1/1/2022,,"Father Time (feat. Sampha), The Heart Part 5, United In Grief",7.5,999
Schvitz,Vulfpeck,Funk,1/1/2022,,"Simple Step, New Guru, Sauna",7.5,999
Beatopia,beabadoobee,Indie Pop,1/1/2022,,"the perfect pair, 10:36, You’re here that’s the thing",7.5,999
how can i pretend?,Wasia Project,Singer-Songwriter / Indie,1/1/2022,,"ur so pretty, impossible, why don't u love me? - re-recorded",7,999
SOS,SZA,R&B,1/1/2022,,"Good Days, Kill Bill, Gone Girl",7,999
HERBERT,Ab-Soul,Hip Hop,1/1/2022,,"HOLLANDAISE, GOODMAN, DO BETTER",7.5,999
Ugly Season,Perfume Genius,Art Pop,1/1/2022,,"Photograph, Pop Song, Teeth",7,999
Harry's House,Harry Styles,Pop,1/1/2022,,"Late Night Talking, As It Was, Music For a Sushi Restaurant",7,999
WHO CARES?,Rex Orange County,Indie Pop,1/1/2022,,"OPEN A WINDOW (feat. Tyler, The Creator), KEEP IT UP, AMAZING",7,999
Everything I Know About Love,Laufey,Jazz / Indie,1/1/2022,,"Valentine, Night Light, Beautiful Stranger",7,999
hugo,Loyle Carner,Conscious Hip Hop,1/1/2022,,"Nobody Knows (Ladas Road), Speed Of Plight, HGU",7,999
Big Time,Angel Olsen,Country,1/1/2022,,"Big Time, All The Good Times, Ghost On",6.5,999
Skyline,Bronze,K-Pop / City Pop,1/1/2022,,"Time Slip (with YUKIKA), Touch (with Jue), Ondo (with LeeHi)",6.5,999
Dragon New Warm Mountain I Believe In You,Big Thief,Indie Folk,1/1/2022,,"Change, Simulation Swarm, Certainty",6.5,999
I Love You Jennifer B,Jockstrap,Glitch Pop,1/1/2022,,"Concrete Over Water, Glasgow, Neon",6.5,999
Water Your Garden,Magic City Hippies,Psychadelic Funk / Alternative Pop,1/1/2022,,"Ghost On The Mend, Queen, Champagne On The Rider",6.5,999
LP3,Hippo Campus,Indie Pop,1/1/2022,,"Semi Pro, Ashtray, Blew Its",6.5,999
The Car,Arctic Monkeys,Baroque Pop,1/1/2022,,"There’d Better Be A Mirrorball, Body Paint, Big Ideas",6.5,999
Cocodrillo Turbo,Action Bronson,Hip Hop,1/1/2022,,"Estaciones [Feat. Hologram], Subzero, Jaguar",6.5,999
Look Alive!,Early Eyes,Alternative / Indie,1/1/2022,,"Paresthesia, Chemicals, Halloween '18",6.5,999
