Song,Artist,Album,Genre,Hidden Ranking
Melt Session #1,"Denzel Curry",Melt My Eyez See Your Future,Conscious Hip Hop,42
Love On The Run,Broken Bells,INTO THE BLUE,Indie / Alternative,41
Rent 2 High,Avantdale Bowling Club,TREES,Jazz Rap,40
Out of Time,The Weeknd,Dawn FM,Pop / Synthpop,39
The Place Where He Inserted the Blade,"Black Country, New Road",Ants From Up There,Art Rock,38
"It's Not Just Me, It's Everybody",Weyes Blood,"And In The Darkness, Hearts Aglow",Dream pop / Art pop,37
Goodbye Mr. Blue,Father John Misty,Chloë and the Next 20th Century,Alternative / Chamber Pop,36
Father Time,"Kendrick Lamar",Mr. Morale & The Big Steppers,Conscious Hip Hop,35
Simple Step,"Vulfpeck",Schvitz,Funk,34
Neon Memories,death's dynamic shroud,Darklife,Glitch Pop,33
don't mind me,Quadeca,I Didn't Mean To Haunt You,Alternative R&B,32
Sugar/Tzu,black midi,Hellfire,Experimental Rock,31
Kody Blu 31,JID,The Forever Story,Hip Hop,30
Paresthesia,Early Eyes,Look Alive!,Alternative / Indie,29
Look Out!,Peach Pit,From 2 to 3,Indie Pop,28
ceilings,Lizzy McAlpine,five seconds flat,Singer-Songwriter / Indie,27
White Meadow,"Bladee, Ecco2k",Crest,Hyperpop / Cloud Rap,26
Mercury,Steve Lacy,Gemini Rights,R&B,25
Change,Djo,DECIDE,Psychadelic Pop,24
"C'mon Baby, Cry",Orville Peck,Bronco,Country,23
the perfect pair,beabadoobee,Beatopia,Indie Pop,22
The Dripping Tap,King Gizzard & The Lizard Wizard,Omnium Gatherum,Psychadelic Rock,21
Gondii,King Gizzard & The Lizard Wizard,Changes,Psychadelic Pop,20
Good Days,SZA,SOS,R&B,19
Too Late Now,Wet Leg,Wet Leg,Indie Rock,18
Change,Big Thief,Dragon New Warm Mountain I Believe In You,Indie Folk,17
Time Slip,"Bronze",Skyline,K-Pop / City Pop,16
Nobody Knows,Loyle Carner,hugo,Conscious Hip Hop,15
HOLLANDAISE,Ab-Soul,HERBERT,Hip Hop,14
Big Time,Angel Olsen,Big Time,Country,13
Anywhere But Home,SEULGI,28 Reasons - The 1st Mini Album,K-Pop,12
Concrete Over Water,Jockstrap,I Love You Jennifer B,Glitch Pop,11
Glimpse of Us,Joji,SMITHEREENS,R&B/Pop,10
Apocalypse Whenever,Bad Suns,Apocalypse Whenever,Alternative / Indie Pop,9
There’d Better Be A Mirrorball,Arctic Monkeys,The Car,Baroque Pop,8
Dust,amaii,I've Seen Better Days,Hyperpop,7
Estaciones,"Action Bronson",Cocodrillo Turbo,Hip Hop,6
ur so pretty,Wasia Project,how can i pretend?,Singer-Songwriter / Indie,5
Photograph,Perfume Genius,Ugly Season,Art Pop,4
Totally Fine,PUP,THE UNRAVELING OF PUPTHEBAND,Pop Punk,3
OPEN A WINDOW,"Rex Orange County",WHO CARES?,Indie Pop,2
