Artist,Album,Genre,Release Date,Listened On,Favorite Songs,Rating,Tags,,,,,,,,,
"Monday Night, 3wayslim",Good Company,Abstract Hip Hop,1/1/2023,1/20/2023,"Kwanzaa, Shine, Brown Baggies",5.5,New, ,All albums playlist:,https://open.spotify.com/playlist/4qVkYlxDRv6gylOjKKcmWm?si=4f834c84b1a94e3f,,,,,,
Mac DeMarco,Five Easy Hot Dogs,Instrumental Indie,1/20/2023,1/21/2023,"Rockaway, Gualala, Vancouver 2",3,New,,Favorite songs playlist:,https://open.spotify.com/playlist/4SLr4bfpWLHQGyQzKonxjE?si=Ldlc9nItQBKpBELpO_tDcw&pi=u-ydxUI7V9QEyE,,,, ,,
The Murder Capital,Gigi's Recovery,"Art-Rock, Punk",1/20/2023,1/27/2023,"A Thousand Lives, Crying, Only Good Things",6.5,New,,,,,,,,,
Miniature Tigers,Miniature Tigers,Indie Pop,1/27/2023,1/30/2023,"Zzz, Lavender Boombox, Bloomless",6.5,New, ,,,,,,,,
Samia,Honey,Indie Pop,1/27/2023,2/1/2023,"Kill Her Freak Out, Charm  You, Honey",4.5,New, ,Tags,Occurrences,,,,,,
Cicada,Seeking the Sources of Streams,Ambient,2/6/2023,2/8/2023,"Seeking the Sources of Streams, Remains of Ancient Trees, ",5,New, ,New Releases (2023),108,,,,,,
Orville Peck,Bronco,Country,4/8/2022,2/12/2023,"C'mon Baby, Cry, Daytona Sand, The Curse of the Blackened Eye",8,Last Year, ,Total Albums:,118,,,,,,
君島大空 (Ohzora Kimishima),映帶する煙 (Eitai suru kemuri),Folktronica,1/18/2023,2/13/2023,"ぬい (Track 7), 19℃ (Track 5), 装置 (Track 3)",5.5,New, ,,,,,,,,
Parannoul,After the Magic,Shoegaze,1/28/2023,2/15/2023,"Arrival, Polaris, Parade",7,New,,,,,,,,,
Jazzbois,Jazzbois Goes Blunt II,Jazz,9/17/2021,2/16/2023,"Blunted Again, Song of Hope, Comedown",4.5,Recommendation - Cyrus, ,Best of the year,,,,,,,
Rayland Baxter,Wide Awake,Alternative,7/13/2018,2/21/2023,"Strange American Dream, Without Me, Casanova",7,Recommendation - Em, ,Very good,,,,,,,
Caroline Polachek,"Desire, I Want To Turn Into You",Art Pop,2/14/2023,2/22/2023,"Blood And Butter, Fly To You, Sunset",6,New,,Pretty good,,,,,,,
