,Artist,Album,Genre,Rating
,McKinley Dixon,Beloved! Paradise! Jazz!?,Jazz Rap,9.5
,"JPEGMAFIA, Danny Brown",SCARING THE HOES,Experimental Hip-Hop,9.5
,Lil Yachty,Let's Start Here.,Psychedelic Rock,9
,Kara Jackson,Why Does the Earth Give Us People to Love?,"Singer-Songwriter, Indie Folk",9
,Portraits Of Tracy,Drive Home,"Pop Rap, R&B",9
,Laufey,Bewitched,Jazz,9
,Jessie Ware,That! Feels Good!,"Dance Pop, Disco",8.5
,Susanne Sundfør,blómi,Singer-Songwriter,8.5
,Sampha,Lahai,Alternative R&B,8.5
,Ryan Beatty,Calico,"Indie Pop, Singer-Songwriter",8.5
,Jeff Rosenstock,HELLMODE,Pop Punk,8
,Zach Bryan,Zach Bryan,Country,8
,Sufjan Stevens,Javelin,Singer-Songwriter,8
,underscores,Wallsocket,"Hyperpop, Electronic",8
,slowthai,UGLY,Post-Punk,8
,Noname,Sundial,Jazz Rap,8
,boygenius,the record,"Singer-Songwriter, Indie-Folk",8
,PinkPantheress,Heaven Knows,"Drum and Bass, Pop",7.5
,MF Tomlinson,We Are Still Wild Horses,Singer-Songwriter,7.5
,Jordan Ward,FORWARD,R&B,7.5
,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,"Singer-Songwriter, Art Pop",7.5
,Olivia Rodrigo,GUTS,Pop,7
,YUKIKA,Time-Lapse,"Kpop, City Pop, Covers",7
,Daniel Caesar,NEVER ENOUGH,R&B,7
,Maruja,Knocknarea,"Art Rock, Post-Punk",7
,Parannoul,After the Magic,Shoegaze,7
,Jane Remover,Census Designated,Shoegaze,7
,"Black Country, New Road",Live at Bush Hall,Art Rock,7
,KNOWER,KNOWER FOREVER,"Jazz, Funk",7
,King Gizzard & The Lizard Wizard,"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",Metal,7
,Foo Fighters,But Here We Are,Alt Rock,7
,ANOHNI,My Back Was A Bridge For You To Cross,"Singer-Songwriter, Soul",7
,Kali Uchis,Red Moon In Venus,R&B,7
,The Lemon Twigs,Everything Harmony,Soft Rock,7
