Song,Artist,Album,Genre
People Watching,Sam Fender,People Watching,Heartland Rock
Wake Me Up (feat. Justice),"The Weeknd, Justice",Hurry Up Tomorrow,Synthpop / Alternative R&B
The Landkeeper,Men I Trust,Equus Asinus,Bedroom Pop
Waitin’ (unplugged),Kelela,In The Blue Light,Soul / R&B
Funny Papers,Mac Miller,Balloonerism,Jazz Rap / Neo-Soul
Eusexua,FKA twigs,EUSEXUA,Art Pop / Techno
Big Dipper,Vulfpeck,Clarity of Cal,Funk / Pop Soul
Luciférine,Ichiko Aoba,Luminescent Creatures,Singer-Songwriter
SAME KIND OF LONELY,Benjamin Booker,LOWER,Art Rock / Neo-Soul
Lover,君島大空,音のする部屋,Noise Pop
SHELL ( OF A MAN ),Saya Gray,SAYA,Art Pop
Idiot Box,Sharon Van Etten,Sharon Van Etten & The Attachment Theory,Indie Rock
Sophie,"Fredrik Svabø,thea wang",Kingo's Treat,Alternative Pop / Jazz
Crispy Skin,Squid,Cowards,Post-Rock / Art Rock
Name Your Price,Maddie Jay,I Can Change Your Mind,Indie Pop
You Are The Morning,jasmine.4.t,You Are The Morning,Singer-Songwriter
Just Because,Matilda Mann,Just Because,Indie Pop
Sick Dogs,"hey, nothing",Barn Nursery,Indie Rock / Indie Folk
Komorebi,ARTEMIS,ARBORESQUE,Jazz
faith,Tarune,let him cry,Singer-Songwriter
Fuzzy Feeling,"grentperez,Benny Sings",Dandelion,Indie Pop
start all over,Alessi Rose,for your validation,Indie Pop
